epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3510.69,1.34743,1.87042,0.0058,0.35978,0.37491,0.30652,0.21478,1.34575,2.02077,0.00705,0.000507115,0.000507115,0.000507115
89,4380.21,1.34459,1.8533,0.00576,0.3599,0.37314,0.30603,0.2143,1.34674,2.02424,0.00705,0.000447606,0.000447606,0.000447606
90,5261.05,1.34005,1.83795,0.00572,0.35967,0.37252,0.30575,0.21403,1.34655,2.03036,0.00704,0.00039264,0.00039264,0.00039264
91,6136.65,1.33749,1.82322,0.00568,0.35447,0.372,0.30459,0.21312,1.34604,2.03799,0.00703,0.00034227,0.00034227,0.00034227
92,7019.81,1.33377,1.8132,0.00565,0.35292,0.37109,0.3042,0.21293,1.34624,2.04314,0.00704,0.000296546,0.000296546,0.000296546
93,7903.57,1.32787,1.8029,0.00563,0.34813,0.37155,0.30352,0.21233,1.34573,2.04905,0.00704,0.000255513,0.000255513,0.000255513
94,8787.59,1.3267,1.79154,0.00561,0.34793,0.37049,0.30302,0.21203,1.34663,2.05432,0.00704,0.000219212,0.000219212,0.000219212
95,9668.75,1.32468,1.78138,0.00558,0.35481,0.36806,0.30245,0.21167,1.34691,2.06067,0.00706,0.000187678,0.000187678,0.000187678
96,10550.6,1.32357,1.77325,0.00556,0.35621,0.36477,0.30132,0.211,1.34736,2.0674,0.00707,0.000160943,0.000160943,0.000160943
97,11440.1,1.32019,1.76755,0.00553,0.35778,0.36319,0.30023,0.21015,1.34841,2.07247,0.00708,0.000139032,0.000139032,0.000139032
98,12322.1,1.31787,1.7607,0.00553,0.35645,0.36279,0.29917,0.20939,1.34788,2.07954,0.00708,0.000121968,0.000121968,0.000121968
99,13200.9,1.31859,1.75445,0.0055,0.35809,0.36324,0.29848,0.20901,1.34804,2.08625,0.00708,0.000109768,0.000109768,0.000109768
100,14079.4,1.31703,1.75261,0.00552,0.3593,0.36201,0.29784,0.20847,1.34829,2.09141,0.00709,0.000102443,0.000102443,0.000102443
